"","success","goal_adj","country","category","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_yr","created_at_month","created_at_yr","launched_at_month","launched_at_yr","create_to_launch_days","launch_to_deadline_days","avg_pledge"
"1",0,1549.23132925859,"US","Academic",11,9,21,16,"Friday","Saturday","Wednesday","1","2015","11","2014","12","2014",17,36,0
"2",0,517.014442146659,"US","Academic",4,4,23,15,"Friday","Friday","Monday","5","2015","2","2015","3","2015",10,60,0
"3",0,103944.246358846,"US","Academic",8,8,18,10,"Thursday","Saturday","Sunday","3","2015","1","2015","1","2015",1,60,24.946619126123
"4",0,5137.46594407037,"US","Academic",7,6,21,13,"Monday","Friday","Saturday","10","2014","9","2014","9","2014",0,30,0
"5",0,3657.98114933215,"DE","Academic",7,7,18,18,"Monday","Wednesday","Thursday","6","2016","5","2016","5","2016",0,32,21.3300914015552
"6",0,13343.0276823159,"US","Academic",8,8,20,15,"Friday","Monday","Wednesday","11","2015","10","2015","10","2015",2,30,97.1646118404541
"7",0,51647.602678836,"US","Academic",7,5,22,13,"Friday","Wednesday","Wednesday","5","2015","4","2015","4","2015",0,30,0
"8",0,10250.9315935185,"US","Academic",3,3,18,12,"Sunday","Thursday","Thursday","9","2015","8","2015","8","2015",0,45,0
"9",0,6883.73891114369,"DE","Academic",1,1,18,9,"Tuesday","Friday","Sunday","3","2016","2","2016","2","2016",1,30,22.4714076246334
"10",0,15377.4310238344,"US","Academic",5,4,19,13,"Wednesday","Sunday","Monday","12","2015","11","2015","11","2015",1,30,0
"11",0,9150.90174694317,"GB","Academic",7,7,23,12,"Thursday","Monday","Tuesday","11","2016","9","2016","10","2016",28,30,14.5349212587025
"12",0,10185.7178041134,"US","Academic",6,6,19,13,"Thursday","Tuesday","Sunday","6","2016","3","2016","5","2016",39,60,84.1340290619769
"13",0,1790.99458797009,"DE","Academic",3,3,19,19,"Saturday","Monday","Monday","1","2017","1","2017","1","2017",0,5,0
"14",0,10329.5205357672,"US","Academic",5,5,22,13,"Monday","Friday","Friday","6","2015","3","2015","4","2015",28,45,56.0745400513077
"15",0,9402.1159930415,"CA","Academic",3,3,15,10,"Saturday","Saturday","Wednesday","12","2015","10","2015","11","2015",4,45,0
"16",0,51647.602678836,"US","Academic",5,5,9,7,"Friday","Thursday","Wednesday","5","2015","3","2015","4","2015",6,30,0
"17",0,20031.8531471402,"US","Academic",1,1,20,15,"Friday","Monday","Monday","2","2017","1","2017","1","2017",0,31,0
"18",0,28596.9814016053,"AU","Academic",6,5,18,12,"Tuesday","Thursday","Sunday","9","2014","8","2014","8","2014",2,30,1.02756674808389
"19",0,49204.471648889,"US","Academic",3,3,18,17,"Saturday","Thursday","Tuesday","10","2015","7","2015","8","2015",12,60,20.5018631870371
"20",0,2148.26744323858,"US","Academic",12,7,19,15,"Friday","Monday","Tuesday","1","2015","11","2014","12","2014",28,31,0
"21",0,513.701168009836,"US","Places",10,5,25,15,"Thursday","Monday","Tuesday","8","2014","7","2014","7","2014",1,30,0
